Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
01/02/2010,124.4688,124.5625,123.125,123.3438,6781,32388,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,123344,123.34,121.813,1.276892341872776,1,0.003,,1
02/02/2010,123.4375,123.7813,123.0313,123.6875,8216,37256,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,123688,123.69,122.156,1.311996352027453,2,0.003,,1
03/02/2010,123.4063,123.5,121.9688,122.1563,10340,39478,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,122156,122.16,120.625,1.3208613708738242,3,0.003,,1
04/02/2010,122.4063,124.2813,122.375,123.875,17474,42128,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,123875,123.88,122.344,1.37074710872089,4,0.003,,1
05/02/2010,123.625,125.125,123.2188,125,16596,43615,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,125000,125,123.469,1.3244708419088282,5,0.003,,1
08/02/2010,124.2813,124.9063,123.875,124.4375,5608,44629,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,124438,124.44,122.906,1.1387753338857856,6,0.003,,1
09/02/2010,124.5938,124.8438,123.25,123.5,6631,44941,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,123500,123.5,121.969,0.9735710124416632,7,0.003,,1
10/02/2010,123.3125,123.9063,121.9063,122.1563,8266,45701,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,122156,122.16,120.625,0.8853452278631314,8,0.003,,1
11/02/2010,123.0938,123.0938,120.5625,121.3125,17946,47257,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,121313,121.31,119.781,0.8971114268027242,9,0.003,,1
12/02/2010,121.625,122.25,121.5313,121.3125,10087,47864,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,121313,121.31,119.781,0.9102223833218002,10,0.003,,1
15/02/2010,121.625,122.25,121.5313,121.75,10087,47864,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,121750,121.75,120.219,0.9285193273522541,11,0.003,,1
16/02/2010,121.5625,122.2813,121.1875,122.125,8197,47990,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,122125,122.13,120.625,0.9521004168503867,12,0.003,,1
17/02/2010,122.0625,122.0625,120.3125,120.625,11832,50260,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,120625,120.63,119.125,0.9497910546536084,13,0.003,,1
18/02/2010,121,121.3438,119.5,119.9063,12040,50084,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,119906,119.91,118.406,1.0056763896005585,14,0.003,,1
19/02/2010,120.25,121.0313,120.0313,120.9688,13225,52694,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,120969,120.97,119.469,1.1221803672612896,15,0.003,,1
